episode,return,length,terminated,truncated
0,-477.9676797714672,286,True,False
1,-251.81071116972103,318,True,False
2,-245.7464700189916,379,True,False
3,-254.7996506872384,811,True,False
4,-172.53690315636803,918,True,False
5,-134.7519849696949,957,True,False
6,-105.11685939419723,938,True,False
7,-72.19548985217534,952,True,False
8,-71.29736806653821,931,True,False
9,-79.47919283816289,934,True,False
10,-34.25981567492044,899,True,False
11,-1.3938346085601725,904,True,False
12,-10.088506241059344,901,True,False
13,33.1178746700089,815,True,False
14,103.80715345122462,671,True,False
15,156.2536706006594,483,True,False
16,194.83612990331142,389,True,False
17,188.27356982741028,381,True,False
18,207.14376092263052,362,True,False
19,194.8160821943773,348,True,False
