episode,return,length,terminated,truncated
0,-194.53494703896234,396,True,False
1,-207.12306034183257,456,True,False
2,-180.393000144908,609,True,False
3,-111.85523819208876,956,True,False
4,-96.0305386746943,965,True,False
5,-53.02503307947527,971,True,False
6,31.800889292178717,885,True,False
7,146.75535017913836,720,True,False
8,166.9178104203237,495,True,False
9,187.56547098660084,420,True,False
10,144.40207716538242,389,True,False
11,151.23707864360213,398,True,False
12,140.28428892133343,424,True,False
13,162.70039848915462,373,True,False
14,152.967685660375,342,True,False
15,150.9635978014632,319,True,False
16,188.79130991877426,365,True,False
17,181.2857748790365,284,True,False
18,180.65667621776146,279,True,False
19,220.10687893887743,288,True,False
