episode,return,length,terminated,truncated
0,-87.17773978823854,249,True,False
1,-143.46996910897562,316,True,False
2,-186.84654220448283,477,True,False
3,-161.87366047712362,699,True,False
4,-154.5176580098492,839,True,False
5,-115.31712363881832,905,True,False
6,-83.49131831832061,940,True,False
7,-43.45002185979991,938,True,False
8,65.95845375003806,792,True,False
9,108.79957290430157,628,True,False
10,123.03236373058867,612,True,False
11,153.7525104489196,547,True,False
12,155.8339726409553,566,True,False
13,163.3972315835993,482,True,False
14,178.45380376854422,471,True,False
15,185.7906953499658,440,True,False
16,182.71557464299013,432,True,False
17,199.49318991020917,407,True,False
18,188.0168038319576,394,True,False
19,202.2394496385848,373,True,False
