episode,return,length,terminated,truncated
0,-79.30830711911214,141,True,False
1,-102.16779639993362,258,True,False
2,-34.57494090928337,301,True,False
3,23.6281629746139,350,True,False
4,27.941626214217234,526,True,False
5,-41.680782277283654,885,True,False
6,-84.29604138120777,940,True,False
7,-71.46249242368391,944,True,False
8,-52.495791652253516,905,True,False
9,-10.61388735681754,902,True,False
10,80.17132473464457,724,True,False
11,168.55093412537846,566,True,False
12,203.50246814351752,500,True,False
13,210.76776342099933,517,True,False
14,210.29186307843594,485,True,False
15,211.5858074324912,464,True,False
16,214.84578979861612,422,True,False
17,218.2863442910988,403,True,False
18,227.028522555378,346,True,False
19,217.91360215805088,311,True,False
