episode,return,length,terminated,truncated
0,-74.04254215430149,251,True,False
1,-144.50823237052902,850,True,False
2,-164.4062866460918,827,True,False
3,-166.32336879480403,741,True,False
4,-130.0575073925192,800,True,False
5,-117.46170777352556,804,True,False
6,-121.40515995658893,818,True,False
7,-133.5843028000148,801,True,False
8,-145.83368484136813,774,True,False
9,-138.16633906919827,736,True,False
10,-123.0206851464191,751,True,False
11,-139.8647847536045,654,True,False
12,-97.96298503142864,792,True,False
13,-36.85049337258961,735,True,False
14,65.3732328182226,659,True,False
15,87.65458755768414,691,True,False
16,85.98838888611397,688,True,False
17,62.87799420479487,705,True,False
18,92.51710810703489,646,True,False
19,112.64601435703557,558,True,False
