episode,return,length,terminated,truncated
0,-194.53494703896234,396,True,False
1,-207.12306034183257,456,True,False
2,-180.393000144908,609,True,False
3,-111.85523819208876,956,True,False
4,-91.52463667436874,964,True,False
5,-55.724150571968686,945,True,False
6,-12.577582423640171,946,True,False
7,115.80175980422518,782,True,False
8,177.00254624549697,615,True,False
9,194.29919685033317,535,True,False
10,223.29705769955618,438,True,False
11,194.99215414191193,428,True,False
12,207.57119690150654,428,True,False
13,224.30353189445742,423,True,False
14,222.86593294235482,395,True,False
15,230.89497668540352,387,True,False
16,241.82175869731245,342,True,False
17,241.59837424042422,339,True,False
18,241.4512264612049,278,True,False
19,222.79641391029696,306,True,False
