episode,return,length,terminated,truncated
0,-191.72672799369388,375,True,False
1,-141.7565949968009,403,True,False
2,-201.13217677273775,462,True,False
3,-182.17924243320277,537,True,False
4,-176.5587619917184,650,True,False
5,-162.67139011207635,735,True,False
6,-85.02772490392472,855,True,False
7,-71.15041654306542,837,True,False
8,-31.125268114126733,713,True,False
9,111.49575448788501,504,True,False
10,161.91049977898777,531,True,False
11,156.8727861581544,567,True,False
12,177.8266348002563,478,True,False
13,179.7955478211562,475,True,False
14,184.843193943187,471,True,False
15,198.5122463942364,417,True,False
16,197.36561411434457,386,True,False
17,206.6375201056606,390,True,False
18,209.44698697626296,362,True,False
19,206.2749082388005,342,True,False
