episode,return,length,terminated,truncated
0,-13.932463694461475,149,True,False
1,-22.267342868693316,290,True,False
2,-16.754524670021112,331,True,False
3,-26.98586644426778,494,True,False
4,9.850977488646517,705,True,False
5,-12.985766967881517,917,True,False
6,16.563816992248842,872,True,False
7,38.10576640905075,697,True,False
8,105.73304460539183,495,True,False
9,113.08023707623019,532,True,False
10,163.48564001611567,513,True,False
11,182.76334073940683,535,True,False
12,167.85386831549758,472,True,False
13,199.34561756640977,424,True,False
14,197.52966362343096,399,True,False
15,214.59449503422147,406,True,False
16,234.28417740417058,362,True,False
17,238.92145240955074,339,True,False
18,242.0126442060921,329,True,False
19,221.27657388882432,281,True,False
