episode,return,length,terminated,truncated
0,-87.17773978823854,249,True,False
1,-143.46996910897562,316,True,False
2,-186.84654220448283,477,True,False
3,-161.87366047712362,699,True,False
4,-133.64996136581627,879,True,False
5,-93.39588917257853,925,True,False
6,-60.873568418010336,936,True,False
7,-31.636664791994065,914,True,False
8,66.78854534979499,655,True,False
9,113.76107348731459,669,True,False
10,64.70835301134983,736,True,False
11,111.12935348617475,659,True,False
12,201.88930430655194,471,True,False
13,199.78676126151737,458,True,False
14,199.9872796301863,414,True,False
15,208.49360682055894,383,True,False
16,228.95714942203912,412,True,False
17,210.50594321158184,443,True,False
18,224.8640554329907,403,True,False
19,221.03648880677156,379,True,False
