episode,return,length,terminated,truncated
0,-175.67198566127038,233,True,False
1,-163.22479622542303,311,True,False
2,-164.44013690780787,669,True,False
3,-168.55894347622439,911,True,False
4,-110.90275815446208,984,True,False
5,-97.36532294391182,985,True,False
6,-88.89454658440852,983,True,False
7,-48.17651491879875,957,True,False
8,21.259413050697702,817,True,False
9,43.256536160945664,834,True,False
10,134.0196072262939,691,True,False
11,179.80764364117448,527,True,False
12,194.6542082117178,492,True,False
13,199.83076927920456,482,True,False
14,195.51020136902895,424,True,False
15,208.17840160509795,400,True,False
16,210.0708545262568,408,True,False
17,209.26391248126578,368,True,False
18,208.64571895531017,378,True,False
19,195.53696545436375,404,True,False
