curriculum,trained_steps,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,100000,76.76445264613068,60.91451868858206,0.7533333333333333,0.16755319774350494,540.4116666666666,120.40066676992271,10
baseline,200000,163.4135960423433,22.53218844611396,0.9400000000000001,0.050430247635156536,286.17833333333334,86.8806773791034,10
baseline,300000,154.88668019926956,32.19896922283357,0.9583333333333334,0.03706017795590647,225.66833333333335,52.875616010771154,10
baseline,400000,163.5823404048783,35.17707738995831,0.9666666666666666,0.02222222222222229,200.70666666666665,36.50958203330893,10
baseline,500000,154.86907771523053,41.21102861269316,0.975,0.021154925294066443,199.92333333333335,27.460218363891276,10
joint,100000,-177.8338953745738,55.22623282163183,0.5433333333333333,0.26378067956842527,647.8533333333334,176.6768429633781,10
joint,200000,16.34971829158315,77.92374737699315,0.6183333333333334,0.2746996114726228,686.6866666666667,144.5084304431261,10
joint,250000,120.72217003474245,30.541152345763486,0.9416666666666667,0.03356401659331825,347.45500000000004,56.06133383388741,10
joint,350000,169.81553839641865,21.247428006579817,0.9400000000000001,0.021081851067789207,319.53166666666664,62.66323939111073,10
joint,400000,164.70099053914078,31.838389211574277,0.9400000000000001,0.026293687924887198,269.46500000000003,42.49997563543238,10
joint,500000,169.73850731084056,28.235713307961568,0.9650000000000001,0.025398065445916593,260.49833333333333,40.19441829838665,10
param,100000,-177.8338953745738,55.22623282163183,0.5433333333333333,0.26378067956842527,647.8533333333334,176.6768429633781,10
param,200000,-28.575594450102717,64.3385178540413,0.4583333333333333,0.24397050013940538,785.0366666666666,108.1888431869177,10
param,225000,87.56898916157613,55.759461025219196,0.9083333333333334,0.06297657804863684,395.1716666666667,99.53351940209842,10
param,325000,143.59084601506981,27.154137901046866,0.9400000000000001,0.0386500602909469,328.78499999999997,53.563330146843484,10
param,350000,142.70942357414737,28.00682873111638,0.95,0.024845199749997694,255.11999999999998,37.191834859911296,10
param,450000,159.61510076721498,31.325799297233807,0.9633333333333333,0.02459549291242083,254.16333333333333,45.831160756588915,10
param,500000,162.31369241979755,43.190533189788276,0.9633333333333333,0.03022549001941213,235.50333333333333,33.28017780252836,10
