curriculum,trained_steps,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,100000,94.88378049933496,57.482572314962326,0.75,0.1502056203843975,544.2216666666666,115.94826500386888,10
baseline,200000,176.43437979080605,17.177838359234542,0.9308333333333334,0.044279206724467716,297.59333333333336,84.8121411534754,10
baseline,300000,173.84959643607414,24.330062710933227,0.9516666666666665,0.04097575314352396,240.84499999999997,58.23730405275759,10
baseline,400000,181.1645792545622,28.30534724711944,0.9625,0.021245914639969977,214.19416666666666,41.234739797938616,10
baseline,500000,175.45073152515596,34.30042096149475,0.9675,0.02020344060663136,211.1508333333333,31.142218686571145,10
joint,100000,-170.73527590823986,57.70245768330947,0.5041666666666667,0.27767359157253346,682.8208333333334,174.77186692033993,10
joint,200000,34.18673923585197,71.67167074510165,0.5941666666666666,0.2622625322124172,720.4191666666667,140.38867014284062,10
joint,250000,141.4571040272113,29.798767224396027,0.9349999999999999,0.03088209357708288,361.15749999999997,49.809372638324376,10
joint,350000,187.82011564237308,15.199091599793551,0.9375,0.01934498371831129,323.78166666666664,59.12604393148296,10
joint,400000,185.40583111659186,27.82902995824867,0.9416666666666667,0.026057865332352412,284.4458333333333,40.94215379729955,10
joint,500000,189.13701164834237,21.473915491006988,0.9566666666666667,0.02108185106778922,271.88,41.70320438734702,10
param,100000,-170.73527590823986,57.70245768330947,0.5041666666666667,0.27767359157253346,682.8208333333334,174.77186692033993,10
param,200000,-13.545343593753852,63.74296187119079,0.4058333333333334,0.23442370893030853,818.3408333333333,105.04443749926526,10
param,225000,107.18823514641917,49.38309908374584,0.8866666666666667,0.05654671399999769,417.55249999999995,101.17259768522572,10
param,325000,161.35269064486448,23.86298894217662,0.9316666666666666,0.03305438840143004,338.085,50.411284193859565,10
param,350000,159.3687994375762,18.602410626060205,0.9433333333333334,0.02687419249432852,271.25083333333333,33.75448288700533,10
param,450000,179.11171760224346,29.892646736239747,0.9550000000000001,0.02581988897471616,264.43916666666667,39.57730559368027,10
param,500000,183.32739859477175,39.083778929733874,0.9641666666666667,0.025169180644609594,248.07583333333332,38.233676911256154,10
