episode,return,length,terminated,truncated
0,-99.24285404651356,303,True,False
1,-199.53099658653284,453,True,False
2,-134.77131200652877,687,True,False
3,-131.10769694405406,853,True,False
4,-148.9782481941736,901,True,False
5,-107.65526684049526,960,True,False
6,-46.38124352777511,936,True,False
7,-2.290458323391923,867,True,False
8,8.677463092472399,847,True,False
9,117.27305762268043,672,True,False
10,98.96605051738852,736,True,False
11,189.398008975399,589,True,False
12,209.58792300353335,450,True,False
13,211.87425828594533,423,True,False
14,202.3381605076437,390,True,False
15,211.85154610359479,386,True,False
16,199.1238055909409,374,True,False
17,189.2787447350144,338,True,False
18,190.05138577885566,333,True,False
19,214.66654647799496,299,True,False
