episode,return,length,terminated,truncated
0,-175.67198566127038,233,True,False
1,-163.22479622542303,311,True,False
2,-164.44013690780787,669,True,False
3,-168.55894347622439,911,True,False
4,-133.76871257754576,975,True,False
5,-76.45915732636045,969,True,False
6,-47.227476811487826,910,True,False
7,-36.85074898811173,916,True,False
8,14.224508527668974,809,True,False
9,48.78263929031003,748,True,False
10,23.9657836963875,764,True,False
11,130.70317639355753,623,True,False
12,180.58506429018416,513,True,False
13,208.96785804179703,411,True,False
14,206.6691674131602,385,True,False
15,207.21937762764145,356,True,False
16,219.3806230939471,337,True,False
17,212.11415596087903,304,True,False
18,217.85298191849765,303,True,False
19,216.09457874395866,283,True,False
