episode,return,length,terminated,truncated
0,-158.81135178808447,182,True,False
1,-171.5290255895788,231,True,False
2,-200.17998838941392,337,True,False
3,-218.45857951180582,458,True,False
4,-181.8570501923482,727,True,False
5,-116.83294926191479,878,True,False
6,-94.79630790152588,933,True,False
7,-106.47914707535953,933,True,False
8,-73.53923544821464,947,True,False
9,-70.24113003456486,947,True,False
10,-52.91291111470851,893,True,False
11,-56.53050556669997,935,True,False
12,-36.590034410919586,891,True,False
13,-0.963620481138529,833,True,False
14,2.170744852552545,834,True,False
15,148.3427236865348,578,True,False
16,143.65939568866543,538,True,False
17,115.04709925273293,632,True,False
18,121.9731008710301,580,True,False
19,164.07681180454148,465,True,False
