episode,return,length,terminated,truncated
0,-361.5681769498907,344,True,False
1,-303.33630926886116,622,True,False
2,-281.34672020633377,716,True,False
3,-208.30139533157663,929,True,False
4,-149.1104441077203,964,True,False
5,-49.997301850420214,958,True,False
6,26.819143522307332,906,True,False
7,143.6364787018984,685,True,False
8,136.76471811609565,700,True,False
9,153.94277560929248,554,True,False
10,173.32154577463902,553,True,False
11,161.35649781611315,473,True,False
12,163.24257251510454,422,True,False
13,173.30788704915432,436,True,False
14,172.9079119168565,434,True,False
15,183.19665505716844,435,True,False
16,195.0732276538314,448,True,False
17,209.9137908535966,438,True,False
18,201.53268622514767,390,True,False
19,215.9866957402031,368,True,False
