episode,return,length,terminated,truncated
0,-178.57600275442232,408,True,False
1,-214.0797804082742,561,True,False
2,-189.00707393329213,697,True,False
3,-141.98530788193165,933,True,False
4,-121.94868252659919,971,True,False
5,-102.28566770818288,974,True,False
6,-79.20114013329645,970,True,False
7,-46.585758324329554,937,True,False
8,-54.76136667909657,897,True,False
9,-14.204717501734786,812,True,False
10,61.39962313637195,730,True,False
11,149.67055765144502,564,True,False
12,191.4081466977646,505,True,False
13,206.27769256739606,476,True,False
14,210.2993860393026,499,True,False
15,222.9722576269532,464,True,False
16,220.2935545571692,455,True,False
17,240.30572704773294,423,True,False
18,242.91112081667742,411,True,False
19,231.5334560366131,353,True,False
