episode,return,length,terminated,truncated
0,-403.6335083515749,447,True,False
1,-260.4552378595747,460,True,False
2,-255.30132355573923,557,True,False
3,-178.766072579301,814,True,False
4,-126.87437507961423,931,True,False
5,-76.36394440977617,962,True,False
6,49.278217461470874,762,True,False
7,91.64491925821089,576,True,False
8,119.07838701608418,523,True,False
9,171.38915262143504,492,True,False
10,171.877551795783,474,True,False
11,179.35745730787613,449,True,False
12,185.78214058635152,466,True,False
13,192.83086369739397,444,True,False
14,188.82654997258706,394,True,False
15,209.72887907127014,355,True,False
16,212.9398115531887,376,True,False
17,218.70938297795496,380,True,False
18,218.12159114599982,420,True,False
19,210.96258328882794,325,True,False
