episode,return,length,terminated,truncated
0,-403.6335083515749,447,True,False
1,-260.4552378595747,460,True,False
2,-255.30132355573923,557,True,False
3,-178.766072579301,814,True,False
4,-114.67428489912365,920,True,False
5,-58.895081409079545,963,True,False
6,63.73450859331825,775,True,False
7,80.81449954483787,786,True,False
8,73.7806116434502,813,True,False
9,161.77361140643958,542,True,False
10,181.4539599485971,475,True,False
11,185.59841383599647,486,True,False
12,158.9424931543577,610,True,False
13,193.55933508099778,527,True,False
14,191.18740524410242,504,True,False
15,196.61255738518173,506,True,False
16,206.15147401682458,469,True,False
17,222.1999685068444,438,True,False
18,215.36953805449116,448,True,False
19,228.638567592015,361,True,False
