curriculum,checkpoint_idx,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,1,-239.25444427809072,287.0623907502264,0.9949999999999999,0.008050764858994112,240.81833333333333,107.13411908548193,10
baseline,2,-173.31305597728496,82.59230831148932,0.8783333333333333,0.22222916655816313,411.0333333333333,203.39749852790078,10
baseline,3,-191.76425169298076,48.98830842790243,0.8116666666666665,0.22402739030069124,510.4466666666666,173.18174546690238,10
baseline,4,-177.50704860491874,71.32118283780399,0.5650000000000001,0.2733480122526395,664.075,184.26815726235557,10
baseline,5,-158.04006225067673,61.73013351195961,0.47333333333333333,0.2533966782402837,733.015,132.16923668745014,10
baseline,6,-147.96647374238017,44.69110894357404,0.39166666666666666,0.23455368702871723,776.7216666666667,119.74656675662983,10
baseline,7,-123.7024889779151,24.911520605046892,0.265,0.12483322207382669,827.45,71.33016737522614,10
baseline,8,-108.83210509001665,35.93957739095443,0.2566666666666667,0.1168517051123103,837.9216666666667,58.18629884652222,10
baseline,9,-89.68043100671588,41.256635613717485,0.27,0.15511843344703338,827.2916666666666,84.06556019258915,10
baseline,10,-69.06809835069723,61.90830214334223,0.3383333333333333,0.2036776077560677,787.6616666666666,122.23863830411578,10
baseline,11,-36.906000372638665,85.27368898779089,0.44333333333333336,0.23203341606940908,742.72,119.79644639095619,10
baseline,12,-10.877875574343097,98.84392939445138,0.5116666666666666,0.24050487020555858,689.3466666666667,133.10108263094958,10
baseline,13,20.785641006727786,79.3138681310299,0.6016666666666667,0.21029814226943452,636.4066666666666,133.69030367343888,10
baseline,14,61.16428522124174,86.07311551890497,0.6933333333333334,0.20982061709475716,583.7916666666667,125.52953472990399,10
baseline,15,93.80552812058042,59.59737690701062,0.7533333333333333,0.1461016050984577,548.5066666666667,83.53098456690216,10
baseline,16,114.02649493291179,57.13648810074617,0.82,0.1254128983068663,502.49333333333334,94.21495720157088,10
baseline,17,130.42982068000916,52.8555920293054,0.885,0.11559027256266467,436.195,94.81860526458395,10
baseline,18,138.94111921724803,53.14450498525437,0.8549999999999999,0.10365243441663022,427.71833333333336,90.30990042181163,10
baseline,19,145.58426217862046,42.28663909315369,0.875,0.08543642499572054,412.61,93.40178118427436,10
baseline,20,164.48959221397826,34.74249572163843,0.8631666666666667,0.07119981446778438,418.4083333333334,84.66869618812804,10
joint,1,-175.888038506074,116.33077030833587,0.9783333333333333,0.04086261232985182,301.7,102.33624468050722,10
joint,2,-200.34245647945946,70.24961590660455,0.8616666666666667,0.1376724507797537,452.4316666666667,129.651768507647,10
joint,3,-187.89853318792754,72.11581661757297,0.6633333333333333,0.21093559955705396,589.3266666666666,144.3788052141371,10
joint,4,-159.96625401472622,51.972129641364056,0.315,0.30199439942480827,824.8566666666668,155.57556541936637,10
joint,5,-128.5166108773964,45.140970325409704,0.18,0.22010098692292235,909.3416666666666,84.85786236734673,10
joint,6,-92.88577456142022,29.528343785156792,0.13,0.07445273585667089,939.5633333333333,36.51788230983639,10
joint,7,-16.511898129206465,69.56755860493719,0.36333333333333334,0.2766421229630998,859.8700000000001,100.60456043463893,10
joint,8,37.20421930427854,79.07734311569766,0.585,0.30876596275024615,761.4,130.0719810217157,10
joint,9,79.56847287173679,55.72806820639757,0.7466666666666666,0.17564695229878557,645.13,129.07517471766232,10
joint,10,124.55912460634775,47.046432935593664,0.8716666666666667,0.10972749635706687,510.03166666666664,124.06367178754388,10
joint,11,131.36615602202826,38.0529606305338,0.9016666666666666,0.08586883480124473,462.52666666666664,107.48081746738247,10
joint,12,158.781487723691,18.806534863811706,0.9049999999999999,0.04234630888924333,449.8,62.90070462224817,10
joint,13,171.81247925382735,28.709089725444098,0.93,0.05258737584977434,420.53166666666664,56.272580351204056,10
joint,14,172.7316910558946,19.612006800071207,0.9349999999999999,0.03464992473225038,390.025,55.1766888345136,10
joint,15,181.19369990266037,19.49789742044484,0.9400000000000001,0.03617515688022163,351.56,51.12563030490746,10
joint,16,184.0068284977287,20.55332851096997,0.9383333333333332,0.0458459578572839,340.99333333333334,50.18379872350227,10
joint,17,179.63665719316063,18.699871083900824,0.96,0.026293687924887187,316.0966666666667,38.84271925993561,10
joint,18,187.48657041096732,19.30196173551241,0.9550000000000001,0.0236356082068696,309.0,41.37099240223369,10
joint,19,186.3087916377092,23.547967162034965,0.9233333333333332,0.046613726585340076,321.0083333333333,39.21468156188446,10
joint,20,198.5367763689645,14.596114054843198,0.922,0.029562655788747262,322.8401666666667,33.401539278956946,10
param,1,-175.888038506074,116.33077030833587,0.9783333333333333,0.04086261232985182,301.7,102.33624468050722,10
param,2,-200.34245647945946,70.24961590660455,0.8616666666666667,0.1376724507797537,452.4316666666667,129.651768507647,10
param,3,-187.89853318792754,72.11581661757297,0.6633333333333333,0.21093559955705396,589.3266666666666,144.3788052141371,10
param,4,-159.96625401472622,51.972129641364056,0.315,0.30199439942480827,824.8566666666668,155.57556541936637,10
param,5,-121.52982030706728,53.30878787325218,0.18166666666666667,0.2557306163683734,904.1899999999999,102.48422076677386,10
param,6,-75.46595766956521,36.78682517659967,0.17166666666666666,0.14741601501017954,929.1416666666667,53.35641008270311,10
param,7,-6.204893834733253,67.24527891505687,0.45833333333333337,0.2644876248592809,809.7216666666666,109.41576557412944,10
param,8,28.39194715087958,72.30178850277045,0.6,0.27899732287754936,713.495,157.5447516374903,10
param,9,56.82271906939444,73.47595530316298,0.7100000000000001,0.26048388021497965,614.7833333333333,162.13375479660135,10
param,10,93.44779712361824,59.94469238868635,0.82,0.16810490551812954,522.0116666666667,101.22314673623414,10
param,11,117.74092269168693,53.4483853896063,0.8150000000000001,0.15264135323053635,489.9633333333333,110.49936422363326,10
param,12,143.68676314708122,35.53623602803258,0.8616666666666667,0.10687768479047828,435.46000000000004,94.6747434608762,10
param,13,162.4375125020848,20.752885670592118,0.9316666666666666,0.03722636792833547,394.07,71.06451937204842,10
param,14,172.7822663173962,20.56635863616861,0.9666666666666666,0.022222222222222237,327.99333333333334,48.263372227450404,10
param,15,170.9559039492129,20.500263863659768,0.95,0.027216552697590886,319.44,37.90435998896223,10
param,16,173.2975866688717,17.444364865368314,0.95,0.03849001794597506,320.055,61.54400415581412,10
param,17,189.98858957826693,19.168214025278814,0.9550000000000001,0.02490723530162213,315.8183333333333,33.30498002468165,10
param,18,189.51266374829103,18.396474057365317,0.9433333333333334,0.03531166351571269,307.57166666666666,39.98032544689334,10
param,19,191.40886726857565,18.775788666382926,0.95,0.022222222222222227,302.18666666666667,39.21088032424759,10
