episode,return,length,terminated,truncated
0,-56.25307121496278,107,True,False
1,-27.76551870431002,258,True,False
2,-162.34822639539652,472,True,False
3,-163.93416015110614,775,True,False
4,-182.58035023968077,692,True,False
5,-207.052783796846,607,True,False
6,-166.31590255479233,835,True,False
7,-142.43306465970107,890,True,False
8,-111.60422687724652,960,True,False
9,-113.07974735467238,971,True,False
10,-115.78177162076842,893,True,False
11,-110.65301007231088,902,True,False
12,-81.04326636244107,895,True,False
13,-55.13466511674187,897,True,False
14,21.960610615605283,792,True,False
15,48.45551178051528,754,True,False
16,149.59571204279007,530,True,False
17,175.95784094458168,513,True,False
18,155.20119022695872,552,True,False
19,140.87662831713368,513,True,False
