episode,return,length,terminated,truncated
0,-182.40893800994294,411,True,False
1,-211.97096405242004,616,True,False
2,-167.37469605027704,865,True,False
3,-148.31741183866595,910,True,False
4,-120.60027978235148,921,True,False
5,-106.91762171338175,938,True,False
6,-104.27485382379045,946,True,False
7,-88.5389662685848,927,True,False
8,-91.11768383624985,943,True,False
9,-94.82517425609399,933,True,False
10,-79.24016926648014,936,True,False
11,-41.59962818406848,914,True,False
12,-29.836664457564506,848,True,False
13,27.466512039301318,779,True,False
14,28.29962397966396,782,True,False
15,-7.966026821694433,803,True,False
16,18.67124487295904,773,True,False
17,71.31410212222819,648,True,False
18,65.88107358263349,715,True,False
19,97.23756554626944,654,True,False
