episode,return,length,terminated,truncated
0,-120.58304845222786,322,True,False
1,-177.48828438543728,686,True,False
2,-130.28927274295464,897,True,False
3,-107.0669325272981,954,True,False
4,-95.49371952296431,968,True,False
5,-71.78340943370533,971,True,False
6,-53.054886103058905,965,True,False
7,-18.27250667779515,927,True,False
8,6.795916081861241,879,True,False
9,149.46028439295577,524,True,False
10,179.54208780316304,450,True,False
11,181.1119028660709,430,True,False
12,183.2350738553518,415,True,False
13,193.19010697584727,328,True,False
14,190.4428098458506,404,True,False
15,212.88682680313832,400,True,False
16,208.98056598726038,353,True,False
17,220.57836442395296,363,True,False
18,210.33061366515693,360,True,False
19,222.89819875163388,321,True,False
