episode,return,length,terminated,truncated
0,-361.5681769498907,344,True,False
1,-303.33630926886116,622,True,False
2,-281.34672020633377,716,True,False
3,-208.30139533157663,929,True,False
4,-141.42586548212577,973,True,False
5,-81.3626034361075,985,True,False
6,-21.817957242710428,917,True,False
7,16.748069305862717,864,True,False
8,22.931844102951235,827,True,False
9,134.37834503476807,548,True,False
10,72.99058714294615,677,True,False
11,122.97058894982544,606,True,False
12,146.9305527525626,518,True,False
13,160.64233661007296,561,True,False
14,171.24704280079672,470,True,False
15,179.39448596241223,448,True,False
16,207.90723553168814,387,True,False
17,195.6508176473576,388,True,False
18,197.3889982679779,389,True,False
19,201.6666030575622,375,True,False
