episode,return,length,terminated,truncated
0,-1055.15599521793,268,True,False
1,-465.9003123477534,566,True,False
2,-208.28415556934382,549,True,False
3,-195.34838711301796,733,True,False
4,-162.28320122851213,875,True,False
5,-142.61020815260304,888,True,False
6,-129.6156391803713,895,True,False
7,-101.75806635773876,924,True,False
8,-97.88361227088629,924,True,False
9,-81.6040758009736,920,True,False
10,-63.96937031774271,915,True,False
11,2.227603833873618,818,True,False
12,66.16417072736992,733,True,False
13,152.8547757167116,582,True,False
14,162.5839973923323,519,True,False
15,166.62155813774706,547,True,False
16,188.88642747026475,444,True,False
17,183.09795550364086,466,True,False
18,195.07907619601355,473,True,False
19,208.71468699731872,405,True,False
