episode,return,length,terminated,truncated
0,-191.74068790175036,410,True,False
1,-207.02180420129054,486,True,False
2,-225.03569034265797,696,True,False
3,-196.31361214947478,785,True,False
4,-151.0118849811272,889,True,False
5,-129.7604955489141,854,True,False
6,-125.77753959795231,876,True,False
7,-120.55734453770069,918,True,False
8,-104.1537361227303,932,True,False
9,-70.36556950492181,936,True,False
10,-44.593857961997415,907,True,False
11,17.185273001063656,845,True,False
12,66.76758031649477,782,True,False
13,106.22581423297599,676,True,False
14,167.65598740649858,594,True,False
15,167.58800597853786,521,True,False
16,165.07960154383218,531,True,False
17,189.79846548879704,481,True,False
18,175.06660202817858,482,True,False
19,199.18122825795422,437,True,False
