episode,return,length,terminated,truncated
0,-120.58304845222786,322,True,False
1,-177.48828438543728,686,True,False
2,-130.28927274295464,897,True,False
3,-107.0669325272981,954,True,False
4,-99.94856910290244,982,True,False
5,-83.64069956657747,985,True,False
6,-35.354375557658685,938,True,False
7,10.083976988146276,836,True,False
8,82.649254130511,774,True,False
9,216.4186136319954,462,True,False
10,203.05707536681822,444,True,False
11,199.61003904671142,441,True,False
12,195.6511478982496,392,True,False
13,166.80117465239863,441,True,False
14,225.0281050054162,390,True,False
15,214.4888466896065,377,True,False
16,210.76726801658737,326,True,False
17,239.3929614715018,319,True,False
18,245.44188655304384,311,True,False
19,209.58740187815448,313,True,False
