episode,return,length,terminated,truncated
0,-175.06256853793093,227,True,False
1,-184.44844727749438,749,True,False
2,-199.09347119957243,944,True,False
3,-166.7880717279329,1000,True,False
4,-130.00015161304944,993,True,False
5,-64.14233666200269,986,True,False
6,48.49286151489811,818,True,False
7,156.39127664519827,636,True,False
8,189.47583136792804,495,True,False
9,194.8726692977944,514,True,False
10,207.99554920053424,460,True,False
11,202.6153992990964,500,True,False
12,202.1710773262532,498,True,False
13,211.81596488483297,494,True,False
14,210.65936953673705,429,True,False
15,225.17151675734664,428,True,False
16,218.25028481493155,379,True,False
17,225.67541619149227,372,True,False
18,235.89642861994056,364,True,False
19,224.15407462332433,335,True,False
