episode,return,length,terminated,truncated
0,-175.06256853793093,227,True,False
1,-184.44844727749438,749,True,False
2,-199.09347119957243,944,True,False
3,-166.7880717279329,1000,True,False
4,-123.62255940614929,993,True,False
5,-60.12038927571318,983,True,False
6,116.60034515071371,746,True,False
7,165.66438759010916,578,True,False
8,178.92124416898315,522,True,False
9,186.78294284179438,475,True,False
10,205.9216301356002,466,True,False
11,221.72554857351193,433,True,False
12,213.9683841624926,489,True,False
13,211.91400010084362,431,True,False
14,209.1700938471488,479,True,False
15,177.6823654567211,564,True,False
16,232.5339070548361,410,True,False
17,225.5165672139718,390,True,False
18,221.12336042603607,390,True,False
19,230.53556639944827,372,True,False
