curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,1,-233.92723176511737,279.69104942782235,0.09333333333333332,0.12452378423219465,0.18166666666666667,0.20267501201141488,253.44,111.96660635328556,10
baseline,2,-181.89973811813448,123.01671646091478,0.035,0.06687467549246294,0.06666666666666668,0.12247448713915893,430.1966666666666,189.85234268950003,10
baseline,3,-182.82173711758685,60.63146248197459,0.023333333333333334,0.04919098582484146,0.03166666666666667,0.0677914376034738,565.53,208.7228166377245,10
baseline,4,-169.05603484406157,73.28318384818509,0.009999999999999998,0.03162277660168379,0.019999999999999997,0.06324555320336758,701.6383333333333,190.55899058290407,10
baseline,5,-142.00713451318364,60.810762514038046,0.028333333333333332,0.08390544354682909,0.05166666666666667,0.1462388541706198,786.3583333333333,141.6242353122437,10
baseline,6,-130.651071312362,41.96166122775722,0.013333333333333332,0.031229931827900435,0.023333333333333334,0.03617515688022157,838.4033333333333,106.32335660847912,10
baseline,7,-113.76084049791112,25.215722537503297,0.008333333333333335,0.016197088596792503,0.018333333333333333,0.021444732295131982,895.9549999999999,42.110311521286015,10
baseline,8,-100.58660038642088,27.368703269609725,0.011666666666666667,0.020861092617242873,0.021666666666666667,0.0314760343871451,901.2766666666666,43.624735451460104,10
baseline,9,-84.01794370897355,38.90970443903248,0.03166666666666666,0.04743416490252569,0.05500000000000001,0.06138826042916119,878.7433333333332,80.62582192135368,10
baseline,10,-55.927262883946824,79.01147058929556,0.03833333333333333,0.039322974153747525,0.09,0.09850737893022889,850.29,140.37636408096841,10
baseline,11,-22.018664438618472,93.64108447438214,0.1,0.10122703976827,0.18833333333333332,0.190685896466181,812.3466666666666,143.1788531871938,10
baseline,12,10.131077203211637,99.42481573083217,0.16499999999999998,0.14217230026613115,0.30333333333333334,0.2511455236990579,758.0016666666667,144.38119757420966,10
baseline,13,36.90110646555142,98.57555724939225,0.195,0.14099514044685946,0.3516666666666667,0.2316673327994686,718.0466666666667,148.6982852940232,10
baseline,14,74.30758573333868,83.14440879292887,0.27999999999999997,0.11648133427535892,0.47000000000000003,0.22094074955701318,669.2083333333333,130.8094000874347,10
baseline,15,108.82325833932441,68.37749585377551,0.33333333333333337,0.11915339216404008,0.5416666666666667,0.14428409903578393,618.3466666666667,118.86028129335642,10
baseline,16,128.38669409756977,58.64450236516222,0.375,0.11660051034341865,0.5866666666666667,0.11727355379518899,571.2,108.82809555770078,10
