curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,n_cases_used,expected_cases,coverage,is_valid,mean_return,mean_success_strict,mean_success_soft,mean_length
baseline,0,1,25000,32768,mid,generalization_combined,,,,,-477.3489892531293,0.0,0.0,290.3333333333333
baseline,0,2,50000,65536,mid,generalization_combined,,,,,-250.6906641159927,0.0,0.0,320.65
baseline,0,3,75000,98304,mid,generalization_combined,,,,,-249.13245006258973,0.0,0.0,392.83333333333337
baseline,0,4,100000,131072,mid,generalization_combined,,,,,-253.25842897429334,0.0,0.0,800.5
baseline,0,5,125000,163840,mid,generalization_combined,,,,,-176.77746107990066,0.0,0.0,890.2833333333334
baseline,0,6,150000,196608,mid,generalization_combined,,,,,-139.591362680344,0.016666666666666666,0.03333333333333333,929.2166666666667
baseline,0,7,175000,229376,mid,generalization_combined,,,,,-112.06294883234429,0.016666666666666666,0.03333333333333333,897.0666666666666
baseline,0,8,200000,262144,mid,generalization_combined,,,,,-77.38278724684223,0.0,0.016666666666666666,921.4166666666667
baseline,0,9,225000,294912,mid,generalization_combined,,,,,-74.30123632661235,0.1,0.11666666666666667,885.4666666666666
baseline,0,10,250000,327680,mid,generalization_combined,,,,,-86.8261605468889,0.05,0.08333333333333333,891.6166666666666
baseline,0,11,275000,360448,mid,generalization_combined,,,,,-25.433283594526756,0.1,0.18333333333333335,833.2666666666667
baseline,0,12,300000,393216,mid,generalization_combined,,,,,24.516640562412128,0.18333333333333332,0.2833333333333333,840.15
baseline,0,13,325000,425984,mid,generalization_combined,,,,,11.159575749068432,0.11666666666666667,0.23333333333333334,835.1666666666667
baseline,0,14,350000,458752,mid,generalization_combined,,,,,65.90648420314497,0.35,0.5,724.0833333333333
baseline,0,15,375000,491520,mid,generalization_combined,,,,,101.44581691519257,0.4666666666666666,0.5833333333333333,613.9333333333334
baseline,0,16,400000,524288,mid,generalization_combined,,,,,129.55197185290334,0.5666666666666667,0.7,491.2
baseline,0,17,425000,557056,mid,generalization_combined,,,,,179.093026061893,0.7500000000000001,0.9333333333333332,382.95000000000005
baseline,0,18,450000,589824,mid,generalization_combined,,,,,166.07394972319196,0.8166666666666667,0.9166666666666666,369.2
baseline,0,19,475000,622592,mid,generalization_combined,,,,,191.13373863931957,0.8500000000000001,0.8999999999999999,356.65
baseline,0,20,500000,655360,final,generalization_combined,,,,,177.94206820214544,0.6366666666666667,0.8616666666666666,348.895
baseline,1,1,25000,32768,mid,generalization_combined,,,,,-160.9094957976546,0.0,0.03333333333333333,178.5
baseline,1,2,50000,65536,mid,generalization_combined,,,,,-176.80878912572177,0.0,0.0,239.95
baseline,1,3,75000,98304,mid,generalization_combined,,,,,-204.1064399176675,0.0,0.0,343.06666666666666
baseline,1,4,100000,131072,mid,generalization_combined,,,,,-224.10224948311347,0.0,0.0,453.94999999999993
baseline,1,5,125000,163840,mid,generalization_combined,,,,,-176.81994493724955,0.016666666666666666,0.03333333333333333,726.7833333333333
baseline,1,6,150000,196608,mid,generalization_combined,,,,,-119.4496269205411,0.0,0.03333333333333333,858.5666666666666
baseline,1,7,175000,229376,mid,generalization_combined,,,,,-95.66106702632425,0.0,0.03333333333333333,941.0333333333333
baseline,1,8,200000,262144,mid,generalization_combined,,,,,-108.30689397272278,0.016666666666666666,0.016666666666666666,927.2333333333333
baseline,1,9,225000,294912,mid,generalization_combined,,,,,-71.67931327657855,0.03333333333333333,0.06666666666666667,912.0333333333333
baseline,1,10,250000,327680,mid,generalization_combined,,,,,-62.56978830088231,0.0,0.05,913.3166666666667
baseline,1,11,275000,360448,mid,generalization_combined,,,,,-30.264256620291405,0.16666666666666669,0.19999999999999998,829.8
baseline,1,12,300000,393216,mid,generalization_combined,,,,,-43.27491604444045,0.05,0.13333333333333333,893.1833333333334
baseline,1,13,325000,425984,mid,generalization_combined,,,,,-18.54209595702373,0.1,0.2333333333333333,831.0
baseline,1,14,350000,458752,mid,generalization_combined,,,,,18.90522109116151,0.11666666666666667,0.25,773.5333333333333
baseline,1,15,375000,491520,mid,generalization_combined,,,,,39.51554325149958,0.21666666666666665,0.3833333333333333,760.5
baseline,1,16,400000,524288,mid,generalization_combined,,,,,137.18792682540825,0.44999999999999996,0.6666666666666667,574.3166666666666
baseline,1,17,425000,557056,mid,generalization_combined,,,,,128.56710348737997,0.48333333333333334,0.75,532.6833333333333
baseline,1,18,450000,589824,mid,generalization_combined,,,,,122.67574948811516,0.3333333333333333,0.5666666666666667,600.0666666666666
baseline,1,19,475000,622592,mid,generalization_combined,,,,,127.78083237525595,0.3333333333333333,0.6,562.5166666666667
baseline,1,20,500000,655360,final,generalization_combined,,,,,149.66934239224435,0.465,0.715,454.905
baseline,2,1,25000,32768,mid,generalization_combined,,,,,-940.2963449765998,0.0,0.0,260.23333333333335
baseline,2,2,50000,65536,mid,generalization_combined,,,,,-476.74570480704784,0.09999999999999999,0.13333333333333333,569.4333333333334
baseline,2,3,75000,98304,mid,generalization_combined,,,,,-207.89080250180024,0.0,0.0,539.1
baseline,2,4,100000,131072,mid,generalization_combined,,,,,-203.4467302225017,0.0,0.0,715.4666666666667
baseline,2,5,125000,163840,mid,generalization_combined,,,,,-168.6528296299154,0.0,0.016666666666666666,866.1666666666667
baseline,2,6,150000,196608,mid,generalization_combined,,,,,-143.00547146842732,0.0,0.0,912.1833333333333
baseline,2,7,175000,229376,mid,generalization_combined,,,,,-132.70198011661876,0.0,0.0,899.2666666666667
baseline,2,8,200000,262144,mid,generalization_combined,,,,,-102.8459302331421,0.0,0.0,917.7333333333333
baseline,2,9,225000,294912,mid,generalization_combined,,,,,-98.97804554952373,0.0,0.016666666666666666,933.2166666666667
baseline,2,10,250000,327680,mid,generalization_combined,,,,,-79.24523006712172,0.03333333333333333,0.06666666666666667,910.5666666666666
baseline,2,11,275000,360448,mid,generalization_combined,,,,,-63.429415295330585,0.05,0.06666666666666667,914.2833333333333
baseline,2,12,300000,393216,mid,generalization_combined,,,,,23.439404667530415,0.21666666666666667,0.35,769.0666666666666
baseline,2,13,325000,425984,mid,generalization_combined,,,,,78.64905211917572,0.35,0.5333333333333333,694.2833333333333
baseline,2,14,350000,458752,mid,generalization_combined,,,,,145.61993272517708,0.3666666666666667,0.6833333333333333,572.9833333333333
baseline,2,15,375000,491520,mid,generalization_combined,,,,,159.88545646766153,0.35000000000000003,0.6333333333333334,509.76666666666665
baseline,2,16,400000,524288,mid,generalization_combined,,,,,161.45924525676492,0.26666666666666666,0.6166666666666666,547.4333333333334
baseline,2,17,425000,557056,mid,generalization_combined,,,,,183.68608143989493,0.33333333333333337,0.65,445.95000000000005
baseline,2,18,450000,589824,mid,generalization_combined,,,,,181.81405663369395,0.5,0.75,466.53333333333336
baseline,2,19,475000,622592,mid,generalization_combined,,,,,191.97538232089792,0.4666666666666667,0.7166666666666667,477.9333333333333
baseline,2,20,500000,655360,final,generalization_combined,,,,,197.52640684600829,0.4016666666666667,0.6983333333333334,405.62833333333333
baseline,3,1,25000,32768,mid,generalization_combined,,,,,-65.78079950989195,0.18333333333333332,0.48333333333333334,236.95
baseline,3,2,50000,65536,mid,generalization_combined,,,,,-147.93060809102099,0.0,0.0,845.3999999999999
baseline,3,3,75000,98304,mid,generalization_combined,,,,,-166.72288644151052,0.0,0.0,837.5166666666665
baseline,3,4,100000,131072,mid,generalization_combined,,,,,-171.49778854808693,0.0,0.0,769.35
baseline,3,5,125000,163840,mid,generalization_combined,,,,,-127.75604817687054,0.0,0.0,814.9833333333333
baseline,3,6,150000,196608,mid,generalization_combined,,,,,-113.54851387733726,0.016666666666666666,0.03333333333333333,799.6333333333334
baseline,3,7,175000,229376,mid,generalization_combined,,,,,-117.95876580959163,0.016666666666666666,0.016666666666666666,832.8333333333333
baseline,3,8,200000,262144,mid,generalization_combined,,,,,-131.18865458953377,0.0,0.0,827.5
baseline,3,9,225000,294912,mid,generalization_combined,,,,,-144.39104013696436,0.0,0.0,805.9499999999999
baseline,3,10,250000,327680,mid,generalization_combined,,,,,-129.73353146014585,0.0,0.0,800.2166666666667
baseline,3,11,275000,360448,mid,generalization_combined,,,,,-112.77445655271205,0.0,0.0,818.3333333333335
baseline,3,12,300000,393216,mid,generalization_combined,,,,,-131.89256833556962,0.0,0.016666666666666666,707.0333333333333
baseline,3,13,325000,425984,mid,generalization_combined,,,,,-90.83156919278079,0.016666666666666666,0.03333333333333333,822.6833333333334
baseline,3,14,350000,458752,mid,generalization_combined,,,,,-20.128842420085604,0.19999999999999998,0.2833333333333333,740.7166666666666
baseline,3,15,375000,491520,mid,generalization_combined,,,,,57.16832311565696,0.2833333333333334,0.5333333333333333,661.75
baseline,3,16,400000,524288,mid,generalization_combined,,,,,77.04658520531922,0.26666666666666666,0.44999999999999996,723.8333333333335
baseline,3,17,425000,557056,mid,generalization_combined,,,,,82.72431923195018,0.23333333333333334,0.4,710.0333333333333
baseline,3,18,450000,589824,mid,generalization_combined,,,,,54.47132161233591,0.3,0.41666666666666663,698.9666666666667
baseline,3,19,475000,622592,mid,generalization_combined,,,,,105.75249119140028,0.41666666666666674,0.6166666666666667,627.7166666666667
baseline,3,20,500000,655360,final,generalization_combined,,,,,112.88216915571815,0.4016666666666666,0.585,548.0333333333333
baseline,4,1,25000,32768,mid,generalization_combined,,,,,-24.189392947470026,0.2333333333333333,0.39999999999999997,146.86666666666667
baseline,4,2,50000,65536,mid,generalization_combined,,,,,-80.20476028807786,0.05,0.11666666666666667,381.1166666666667
baseline,4,3,75000,98304,mid,generalization_combined,,,,,-213.81802296267318,0.0,0.0,662.95
baseline,4,4,100000,131072,mid,generalization_combined,,,,,-148.09896185984786,0.0,0.0,892.05
baseline,4,5,125000,163840,mid,generalization_combined,,,,,-156.77330180313967,0.0,0.0,885.8333333333333
baseline,4,6,150000,196608,mid,generalization_combined,,,,,-158.01323490843487,0.0,0.0,840.2500000000001
baseline,4,7,175000,229376,mid,generalization_combined,,,,,-130.11002663576656,0.0,0.0,891.2666666666667
baseline,4,8,200000,262144,mid,generalization_combined,,,,,-105.36459163969946,0.0,0.0,879.95
