curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,n_cases_used,expected_cases,coverage,is_valid,mean_return,mean_success_strict,mean_success_soft,mean_length
baseline,2,18,450000,589824,mid,training_like,4,4,1.0,True,185.02380380856124,0.425,0.775,467.02500000000003
baseline,2,19,475000,622592,mid,training_like,4,4,1.0,True,199.734617008687,0.47500000000000003,0.775,466.175
baseline,2,20,500000,655360,final,training_like,4,4,1.0,True,225.4971072242844,0.5,0.7949999999999999,406.0875
baseline,3,1,25000,32768,mid,training_like,4,4,1.0,True,-86.43515612091579,0.125,0.25,274.275
baseline,3,2,50000,65536,mid,training_like,4,4,1.0,True,-139.37466878979103,0.0,0.0,857.125
baseline,3,3,75000,98304,mid,training_like,4,4,1.0,True,-160.93138695296366,0.0,0.0,812.0250000000001
baseline,3,4,100000,131072,mid,training_like,4,4,1.0,True,-158.56173916487975,0.0,0.0,700.5500000000001
baseline,3,5,125000,163840,mid,training_like,4,4,1.0,True,-133.50969621599214,0.0,0.0,779.4
baseline,3,6,150000,196608,mid,training_like,4,4,1.0,True,-123.33149861780802,0.0,0.0,811.05
baseline,3,7,175000,229376,mid,training_like,4,4,1.0,True,-126.5747511770849,0.0,0.0,796.975
baseline,3,8,200000,262144,mid,training_like,4,4,1.0,True,-137.1777751157364,0.0,0.0,761.75
baseline,3,9,225000,294912,mid,training_like,4,4,1.0,True,-147.99765189797375,0.0,0.0,727.25
baseline,3,10,250000,327680,mid,training_like,4,4,1.0,True,-150.81555048277693,0.0,0.0,641.0250000000001
baseline,3,11,275000,360448,mid,training_like,4,4,1.0,True,-138.3900280369797,0.0,0.0,650.925
baseline,3,12,300000,393216,mid,training_like,4,4,1.0,True,-151.82310938065683,0.0,0.0,576.275
baseline,3,13,325000,425984,mid,training_like,4,4,1.0,True,-108.66010878940038,0.0,0.0,748.0249999999999
baseline,3,14,350000,458752,mid,training_like,4,4,1.0,True,-61.93296980134561,0.125,0.15000000000000002,728.7750000000001
baseline,3,15,375000,491520,mid,training_like,4,4,1.0,True,77.68059737207108,0.475,0.55,657.25
baseline,3,16,400000,524288,mid,training_like,4,4,1.0,True,103.56659108623153,0.6000000000000001,0.675,643.725
baseline,3,17,425000,557056,mid,training_like,4,4,1.0,True,90.88449336735962,0.35000000000000003,0.525,656.5
baseline,3,18,450000,589824,mid,training_like,4,4,1.0,True,75.48800309348329,0.45,0.5249999999999999,714.825
baseline,3,19,475000,622592,mid,training_like,4,4,1.0,True,72.6640334804868,0.30000000000000004,0.5,674.25
baseline,3,20,500000,655360,final,training_like,4,4,1.0,True,112.29178215901169,0.45,0.63,574.015
baseline,4,1,25000,32768,mid,training_like,4,4,1.0,True,-13.574738139021974,0.24999999999999997,0.4,164.025
baseline,4,2,50000,65536,mid,training_like,4,4,1.0,True,-120.53983047929779,0.0,0.025,456.57500000000005
baseline,4,3,75000,98304,mid,training_like,4,4,1.0,True,-208.44423208525149,0.0,0.0,680.3
baseline,4,4,100000,131072,mid,training_like,4,4,1.0,True,-154.77169331594672,0.0,0.0,819.5999999999999
baseline,4,5,125000,163840,mid,training_like,4,4,1.0,True,-157.84825591543049,0.0,0.0,824.1000000000001
baseline,4,6,150000,196608,mid,training_like,4,4,1.0,True,-161.75795788794477,0.0,0.0,816.9499999999999
baseline,4,7,175000,229376,mid,training_like,4,4,1.0,True,-134.09443217912184,0.0,0.0,828.9750000000001
baseline,4,8,200000,262144,mid,training_like,4,4,1.0,True,-105.24669298558784,0.0,0.0,813.925
baseline,4,9,225000,294912,mid,training_like,4,4,1.0,True,-102.41403809919647,0.0,0.0,780.95
baseline,4,10,250000,327680,mid,training_like,4,4,1.0,True,-77.84524358429026,0.0,0.0,850.575
baseline,4,11,275000,360448,mid,training_like,4,4,1.0,True,-79.84470906156093,0.0,0.0,872.975
baseline,4,12,300000,393216,mid,training_like,4,4,1.0,True,-67.2940656240232,0.0,0.0,895.4499999999999
baseline,4,13,325000,425984,mid,training_like,4,4,1.0,True,-19.696558105399884,0.07500000000000001,0.175,891.625
baseline,4,14,350000,458752,mid,training_like,4,4,1.0,True,10.013638938103053,0.225,0.325,779.7
baseline,4,15,375000,491520,mid,training_like,4,4,1.0,True,45.2718336572901,0.32499999999999996,0.45000000000000007,759.1750000000001
baseline,4,16,400000,524288,mid,training_like,4,4,1.0,True,120.07944871125156,0.475,0.7000000000000001,637.85
baseline,4,17,425000,557056,mid,training_like,4,4,1.0,True,151.2485391567279,0.65,0.75,571.2
baseline,4,18,450000,589824,mid,training_like,4,4,1.0,True,166.10926002500545,0.625,0.7,593.0
baseline,4,19,475000,622592,mid,training_like,4,4,1.0,True,178.61834206053993,0.725,0.8,521.075
baseline,4,20,500000,655360,final,training_like,4,4,1.0,True,192.16965470958598,0.695,0.7925,492.94999999999993
baseline,5,1,25000,32768,mid,training_like,4,4,1.0,True,-219.94993486964086,0.05,0.05,414.2
baseline,5,2,50000,65536,mid,training_like,4,4,1.0,True,-206.78903163957403,0.0,0.0,474.75
baseline,5,3,75000,98304,mid,training_like,4,4,1.0,True,-213.6183724097069,0.0,0.0,605.2
baseline,5,4,100000,131072,mid,training_like,4,4,1.0,True,-200.71086683965603,0.0,0.0,726.325
baseline,5,5,125000,163840,mid,training_like,4,4,1.0,True,-152.1715605651747,0.0,0.0,887.1250000000001
baseline,5,6,150000,196608,mid,training_like,4,4,1.0,True,-134.8759527582788,0.0,0.0,845.975
baseline,5,7,175000,229376,mid,training_like,4,4,1.0,True,-137.6891874141818,0.0,0.0,862.75
baseline,5,8,200000,262144,mid,training_like,4,4,1.0,True,-130.29590828584952,0.0,0.0,909.25
baseline,5,9,225000,294912,mid,training_like,4,4,1.0,True,-109.24252013559234,0.0,0.0,920.65
baseline,5,10,250000,327680,mid,training_like,4,4,1.0,True,-75.53777706943652,0.0,0.0,956.625
baseline,5,11,275000,360448,mid,training_like,4,4,1.0,True,-65.13404591046442,0.0,0.0,956.825
baseline,5,12,300000,393216,mid,training_like,4,4,1.0,True,-29.27832427692474,0.07500000000000001,0.1,965.325
baseline,5,13,325000,425984,mid,training_like,4,4,1.0,True,47.01540986897507,0.375,0.45,898.525
baseline,5,14,350000,458752,mid,training_like,4,4,1.0,True,132.39166675366567,0.525,0.7,725.475
baseline,5,15,375000,491520,mid,training_like,4,4,1.0,True,163.386921811415,0.575,0.875,653.975
baseline,5,16,400000,524288,mid,training_like,4,4,1.0,True,177.97620409238183,0.55,0.875,559.25
baseline,5,17,425000,557056,mid,training_like,4,4,1.0,True,171.10508097477617,0.5,0.875,551.7
baseline,5,18,450000,589824,mid,training_like,4,4,1.0,True,189.01616925904744,0.42500000000000004,0.875,504.275
baseline,5,19,475000,622592,mid,training_like,4,4,1.0,True,185.7315083648462,0.45,0.7750000000000001,499.07500000000005
baseline,5,20,500000,655360,final,training_like,4,4,1.0,True,204.63226337143993,0.5499999999999999,0.835,468.48249999999996
baseline,6,1,25000,32768,mid,training_like,4,4,1.0,True,-182.24120892241243,0.0,0.0,427.975
baseline,6,2,50000,65536,mid,training_like,4,4,1.0,True,-218.21240355803283,0.0,0.0,714.8499999999999
baseline,6,3,75000,98304,mid,training_like,4,4,1.0,True,-164.73628944881114,0.0,0.0,833.675
baseline,6,4,100000,131072,mid,training_like,4,4,1.0,True,-145.59900671697275,0.0,0.0,891.2
baseline,6,5,125000,163840,mid,training_like,4,4,1.0,True,-123.06638019122397,0.0,0.0,870.725
baseline,6,6,150000,196608,mid,training_like,4,4,1.0,True,-111.5161599992613,0.0,0.0,892.4000000000001
baseline,6,7,175000,229376,mid,training_like,4,4,1.0,True,-108.06855827118379,0.0,0.0,912.2
baseline,6,8,200000,262144,mid,training_like,4,4,1.0,True,-94.86078978516416,0.0,0.0,892.7
baseline,6,9,225000,294912,mid,training_like,4,4,1.0,True,-95.32368480871756,0.0,0.0,912.125
baseline,6,10,250000,327680,mid,training_like,4,4,1.0,True,-98.76867656253235,0.0,0.0,911.4749999999999
baseline,6,11,275000,360448,mid,training_like,4,4,1.0,True,-92.01448925821606,0.0,0.0,913.0999999999999
baseline,6,12,300000,393216,mid,training_like,4,4,1.0,True,-72.40955169878549,0.0,0.0,934.25
baseline,6,13,325000,425984,mid,training_like,4,4,1.0,True,-62.79153245736124,0.0,0.0,935.125
baseline,6,14,350000,458752,mid,training_like,4,4,1.0,True,-18.352848741442692,0.05,0.125,886.875
baseline,6,15,375000,491520,mid,training_like,4,4,1.0,True,-20.65540419900836,0.075,0.125,898.55
baseline,6,16,400000,524288,mid,training_like,4,4,1.0,True,-58.92573738491444,0.0,0.0,933.9749999999999
baseline,6,17,425000,557056,mid,training_like,4,4,1.0,True,-16.58382740899365,0.15,0.175,920.9250000000001
baseline,6,18,450000,589824,mid,training_like,4,4,1.0,True,31.866446760290184,0.22499999999999998,0.35,841.4749999999999
baseline,6,19,475000,622592,mid,training_like,4,4,1.0,True,9.553969128572701,0.175,0.275,888.3499999999999
baseline,6,20,500000,655360,final,training_like,4,4,1.0,True,73.5842577289379,0.3275,0.45999999999999996,800.0425
baseline,7,1,25000,32768,mid,training_like,4,4,1.0,True,-62.076652986081896,0.07500000000000001,0.325,109.55000000000001
baseline,7,2,50000,65536,mid,training_like,4,4,1.0,True,-29.1045450186105,0.275,0.375,280.175
baseline,7,3,75000,98304,mid,training_like,4,4,1.0,True,-186.81061176485065,0.0,0.025,483.625
baseline,7,4,100000,131072,mid,training_like,4,4,1.0,True,-133.79300994460374,0.0,0.0,821.1
baseline,7,5,125000,163840,mid,training_like,4,4,1.0,True,-167.90235183539698,0.0,0.0,714.0
baseline,7,6,150000,196608,mid,training_like,4,4,1.0,True,-216.1766994951961,0.0,0.0,624.0
baseline,7,7,175000,229376,mid,training_like,4,4,1.0,True,-168.51625005603438,0.0,0.0,795.8249999999999
baseline,7,8,200000,262144,mid,training_like,4,4,1.0,True,-131.76045119320924,0.0,0.0,874.425
baseline,7,9,225000,294912,mid,training_like,4,4,1.0,True,-109.47974321568638,0.0,0.0,968.875
baseline,7,10,250000,327680,mid,training_like,4,4,1.0,True,-114.89261265797576,0.0,0.0,1000.0
baseline,7,11,275000,360448,mid,training_like,4,4,1.0,True,-146.5273908464591,0.0,0.0,924.85
baseline,7,12,300000,393216,mid,training_like,4,4,1.0,True,-144.0350642255413,0.0,0.0,928.5
baseline,7,13,325000,425984,mid,training_like,4,4,1.0,True,-111.57896341837167,0.0,0.0,934.7
baseline,7,14,350000,458752,mid,training_like,4,4,1.0,True,-90.4228186764296,0.0,0.0,953.475
baseline,7,15,375000,491520,mid,training_like,4,4,1.0,True,-5.666720106193691,0.1,0.25,855.9749999999999
