curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,1,-243.05133731482402,295.38412204474935,0.07333333333333333,0.11842588972865979,0.14,0.16086187618536765,267.59000000000003,125.3218474346929,10
baseline,2,-180.84260250708644,131.9038743405056,0.026666666666666672,0.06245986365580088,0.05666666666666668,0.11444983806060524,443.7466666666666,204.8093923868643,10
baseline,3,-176.32807246495878,48.78409784516624,0.013333333333333336,0.03220305943597653,0.023333333333333334,0.054546389816149225,577.6533333333333,225.36206654412146,10
baseline,4,-155.0317279704828,76.07052812652692,0.003333333333333333,0.010540925533894598,0.006666666666666666,0.021081851067789197,709.1866666666667,182.76119492488107,10
baseline,5,-129.90043306721427,62.274169857875364,0.03,0.08381343184731604,0.06,0.1676268636946321,799.65,140.9039102139478,10
baseline,6,-122.81510246683743,42.818890080932626,0.016666666666666666,0.04230985058813282,0.023333333333333334,0.04458311699497529,846.5200000000001,92.25140528890482,10
baseline,7,-105.82510680570945,26.040073299346364,0.006666666666666666,0.01405456737852613,0.01,0.022498285257018427,897.3833333333334,50.7731197717653,10
baseline,8,-92.52396380497949,28.586396889444664,0.01,0.02249828525701843,0.016666666666666666,0.028327886186626582,907.55,57.24394463636187,10
baseline,9,-77.78485873708107,35.48205177907661,0.03,0.042889464590263965,0.05333333333333333,0.06516834799384524,885.8133333333333,79.10311944653536,10
baseline,10,-46.11203017378979,82.6839370463086,0.05,0.06894263136661587,0.09333333333333334,0.13221755360572016,858.7166666666668,146.2129558445151,10
baseline,11,-11.941317359554615,94.13841285484736,0.1,0.1314684396244359,0.2,0.222777085064038,829.5333333333334,142.40595683892536,10
baseline,12,18.267959983691295,106.58048337057352,0.19666666666666666,0.18152304890550572,0.32,0.27451416118546235,771.6633333333333,158.9590307105716,10
baseline,13,49.335954980960686,100.80223399293753,0.23333333333333334,0.17638342073763935,0.37666666666666665,0.25822279594505015,725.85,136.51181855406614,10
baseline,14,85.66422558715746,82.66534653381832,0.3,0.15153535218873176,0.4766666666666667,0.2748961644595426,679.31,141.49478378903646,10
baseline,15,124.66644841758804,62.53127368463581,0.3666666666666667,0.12957670877434,0.5866666666666667,0.15412036341688623,617.5366666666666,117.29675297832955,10
baseline,16,136.05955092891506,59.55542532352222,0.39666666666666667,0.10476310725620595,0.5933333333333334,0.11842588972865978,577.3633333333333,110.5923037194511,10
baseline,17,158.57016547752085,47.74616188379405,0.45666666666666667,0.1466077322670733,0.6633333333333333,0.14944341180973256,522.06,114.36081172875284,10
baseline,18,168.66836933186227,47.95247313651018,0.4766666666666667,0.15717411906450665,0.6633333333333333,0.16588706555520996,488.4866666666667,102.88814278587171,10
baseline,19,166.73975700590813,45.039813008185895,0.4766666666666667,0.16028523957211832,0.6933333333333334,0.1293860144711968,485.67333333333335,119.27685793776664,10
baseline,20,176.29752773520553,35.18788060545418,0.48933333333333334,0.07734482673212359,0.7346666666666667,0.0970325133240158,439.099,90.5798629142016,10
joint,1,-172.45819390486963,118.31683740994751,0.09666666666666668,0.11595018087284058,0.16999999999999998,0.21967990181001823,302.1766666666666,95.53082244509903,10
joint,2,-178.70878629854218,77.23398035347003,0.023333333333333334,0.04458311699497529,0.06,0.11842588972865979,510.59333333333336,179.28536381705104,10
joint,3,-167.88299592311316,70.84054719138726,0.02,0.04499657051403686,0.03666666666666667,0.08670939117834076,655.8133333333333,191.71371416132664,10
