curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,1,-270.94886040115796,359.55633324420893,0.05,0.08249579113843054,0.12250000000000001,0.1534103067665997,267.3275,114.13778615851399,10
baseline,2,-182.3428298720241,113.76224854268587,0.035,0.08595864638818419,0.05750000000000001,0.12079022219442176,454.805,208.3952610625619,10
baseline,3,-180.9551787500943,56.58161786145814,0.0025,0.007905694150420948,0.015,0.03944053188733077,542.5475,191.39815410769597,10
baseline,4,-159.619523770655,76.06505204178313,0.005,0.015811388300841896,0.025,0.07905694150420949,689.5725,180.54776970606235,10
baseline,5,-138.67619727984055,66.71999753982413,0.01,0.03162277660168379,0.027500000000000004,0.08696263565463044,786.8125,124.05768329580485,10
baseline,6,-133.83615495807675,45.09537324425389,0.0,0.0,0.0,0.0,837.5649999999999,105.41889865884791,10
baseline,7,-116.44119363999823,26.505974809791,0.0,0.0,0.0,0.0,882.9649999999999,66.98937540137739,10
baseline,8,-102.48928009438846,24.708460790204803,0.0,0.0,0.0,0.0,893.9100000000001,70.89742022418338,10
baseline,9,-94.46319508070538,25.053682382980536,0.0,0.0,0.0025,0.007905694150420948,887.6175,110.3702424732822,10
baseline,10,-72.94386535217014,56.28231920471839,0.0025,0.007905694150420948,0.015,0.03944053188733077,881.6825000000001,160.2902107853474,10
baseline,11,-55.1713428880661,85.03521567581726,0.035,0.08755950357709133,0.07749999999999999,0.16005641366579332,868.8825,139.8167809283516,10
baseline,12,-30.29827904043416,106.26371438539276,0.08249999999999999,0.1585743779219497,0.16749999999999998,0.2967532645144784,849.3025,159.91228735101419,10
baseline,13,5.522116759015179,109.5360816823153,0.14500000000000002,0.19429359227725448,0.2425,0.3133710083732841,824.735,172.46587351640844,10
baseline,14,47.42907838987601,110.5775101002855,0.22999999999999998,0.19677962857527256,0.39,0.32812599206199233,762.945,164.10604032826527,10
baseline,15,85.83801387077065,91.94997459477878,0.335,0.20723041389826072,0.5,0.2778888666755511,709.4675,159.43012708898877,10
baseline,16,131.06260853134867,88.42514627284557,0.425,0.2400810048481323,0.63,0.2866957349603312,612.6324999999999,167.16194869131482,10
baseline,17,155.11610421078785,71.58459983408032,0.48,0.1636391694484477,0.6925,0.2282329463021887,549.7850000000001,155.06897399042933,10
baseline,18,155.93905178072168,65.78856294156442,0.46749999999999997,0.17039578111626538,0.6649999999999999,0.16591497152993087,561.5274999999999,145.49035737902966,10
baseline,19,158.1378389793634,73.34339749478904,0.45999999999999996,0.18112303982529546,0.6575,0.1878422801773398,539.99,159.04711967771618,10
baseline,20,181.84218588556973,54.85194387285956,0.5305,0.12015499249811563,0.743,0.1340750204591113,481.85875,140.00440177231928,10
joint,1,-184.61374942968425,121.36163775707179,0.1125,0.18037384018261138,0.16,0.24071652299841081,336.3025,102.76116758046301,10
joint,2,-187.8222301119008,72.51023990646735,0.0125,0.02124591463996994,0.0375,0.06997023176561111,478.255,158.10165233868437,10
joint,3,-170.92576735296132,77.03754539472551,0.02,0.0483045891539648,0.0375,0.08917056066263625,653.025,171.08499918006967,10
joint,4,-137.01200532199857,50.99791866190958,0.0075000000000000015,0.023717082451262847,0.0125,0.03952847075210474,859.9675,135.8959196560613,10
joint,5,-111.57150327400893,35.98611325667662,0.0025,0.007905694150420948,0.005,0.015811388300841896,947.5975000000001,51.76661361072617,10
joint,6,-81.65015251690802,20.287575489636723,0.0,0.0,0.0,0.0,994.25,12.52974793574609,10
joint,7,-36.58299803084077,54.69618015439017,0.06000000000000001,0.11377365443917342,0.11000000000000001,0.2098941532190822,971.2524999999999,54.94410600530525,10
joint,8,24.803170466280825,93.70418221558066,0.215,0.270082291986062,0.3275,0.3850414840565162,911.7524999999999,120.32433568046176,10
joint,9,58.145690442520944,89.75128607330556,0.22999999999999998,0.22416511771459896,0.4175,0.3429953838367702,835.4,185.24684170347174,10
joint,10,152.4069272974525,69.60525863324543,0.495,0.1790406533599438,0.75,0.20749832663314555,633.525,156.55109744460788,10
joint,11,151.1747615426077,56.86538820397245,0.4699999999999999,0.18173546098045304,0.7125,0.16966060892918616,602.2275,158.4101249964436,10
joint,12,186.28448352629965,33.94502949725325,0.5549999999999999,0.1766981104093143,0.8175000000000001,0.13019749954929585,551.4475,83.16074164766027,10
joint,13,195.50755096594068,20.407206759790906,0.53,0.17312487464897186,0.79,0.11855612829185827,528.7225,69.63424729135319,10
joint,14,197.5278193526521,19.674791245915145,0.5625,0.13136568975362037,0.8150000000000001,0.08349983366583567,500.68,65.45928314609013,10
joint,15,204.404919125909,19.59796017853951,0.5974999999999999,0.12826296772213286,0.845,0.10055402085998906,444.38,59.29209920198287,10
joint,16,212.5982504464493,16.332956899524234,0.5625,0.13501543121683043,0.8175000000000001,0.1202139296790887,436.81499999999994,61.23512313660808,10
joint,17,220.45205851384912,9.096339919037474,0.5725,0.09961732334845735,0.8225,0.08370749335898456,411.07250000000005,55.201242249005006,10
joint,18,221.92238538846277,15.411354894242706,0.635,0.1380418616056577,0.8425,0.0993380871345707,384.7125,49.08370012596397,10
joint,19,221.28944847078347,17.660392296505904,0.6075,0.13439680055715614,0.8275,0.08287373260301213,381.5675,52.54409001812984,10
joint,20,229.61532472849234,14.492844145635042,0.6305,0.15629743724350978,0.84975,0.09064927835712024,358.93725,41.942524785082036,10
param,1,-184.61374942968425,121.36163775707179,0.1125,0.18037384018261138,0.16,0.24071652299841081,336.3025,102.76116758046301,10
param,2,-187.8222301119008,72.51023990646735,0.0125,0.02124591463996994,0.0375,0.06997023176561111,478.255,158.10165233868437,10
param,3,-170.92576735296132,77.03754539472551,0.02,0.0483045891539648,0.0375,0.08917056066263625,653.025,171.08499918006967,10
param,4,-137.01200532199857,50.99791866190958,0.0075000000000000015,0.023717082451262847,0.0125,0.03952847075210474,859.9675,135.8959196560613,10
param,5,-109.33135251430174,34.7092624870168,0.0125,0.03952847075210474,0.027500000000000004,0.08696263565463044,940.2875,70.41460376662718,10
param,6,-73.82821488638476,16.223576486179162,0.0,0.0,0.0,0.0,982.485,24.69969972826929,10
param,7,-20.222652387755357,67.04089306506465,0.08499999999999999,0.1803545890122505,0.13499999999999998,0.24613681832130135,949.36,86.50895361496146,10
param,8,29.247757012330304,101.48482321001393,0.24250000000000002,0.28260936919280577,0.325,0.36266758578314906,864.5625,165.8965115206532,10
param,9,64.94427230675328,107.49791734766262,0.3,0.3084459253886958,0.44749999999999995,0.3964162374743664,777.6675,194.9987208113313,10
param,10,103.76785415062193,104.30379021694174,0.4575,0.33146350561646387,0.6174999999999999,0.39370921305507245,696.25,205.37603113963098,10
param,11,128.9132433894716,91.39552221196477,0.46749999999999997,0.23601141686132238,0.655,0.3077246243712785,655.25,187.19001524001098,10
param,12,176.16214052758195,31.61433078600439,0.5900000000000001,0.12087642909645831,0.805,0.10124228365658294,565.8725000000001,114.61993382115811,10
param,13,191.06109092707436,28.463040789419605,0.5525,0.15295696562541156,0.7925,0.12021392967908871,509.20500000000004,84.57806042677709,10
param,14,208.76762594702979,15.544480429925327,0.605,0.08316649966583098,0.8324999999999999,0.09132512128531654,451.95,44.54700388977415,10
param,15,211.64246118904444,15.673864329973533,0.6375,0.14349312798102137,0.8400000000000001,0.10684880283216398,439.2125,45.581496382852556,10
param,16,210.82317136713814,21.492993290060415,0.6475,0.13147137415506932,0.8400000000000001,0.10287532908007306,453.91,95.24873592045432,10
param,17,229.46256522453723,12.562873232589611,0.6799999999999999,0.10124228365658297,0.9025000000000001,0.057069645560879796,393.3775,51.43004073766401,10
param,18,230.68392196347526,10.944419350582471,0.6975,0.08203149801549803,0.9025000000000001,0.07587453093393359,401.21750000000003,58.798214317651215,10
param,19,231.2414033993782,12.47773094509445,0.65,0.13437096247164249,0.9,0.07905694150420947,379.2725,52.34817126435483,10
param,20,236.79490819282432,8.258206481582917,0.6615,0.027868739954771272,0.8855000000000001,0.03983995760818804,345.1825,37.0614706902225,10
