curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,1,-224.8031262154107,264.95341021564,0.11333333333333333,0.1407212462132228,0.22333333333333333,0.25193081550788726,239.29000000000002,99.27987133277243,10
baseline,2,-182.95687372918252,114.95679146860233,0.043333333333333335,0.07706018170844313,0.07666666666666667,0.13337962159486783,416.64666666666665,180.8461102842366,10
baseline,3,-189.31540177021492,73.56971437496233,0.03333333333333334,0.07200822998230957,0.04000000000000001,0.0843274042711568,553.4066666666666,194.93687284621586,10
baseline,4,-183.08034171764035,70.7560798554234,0.016666666666666666,0.05270462766947299,0.03333333333333333,0.10540925533894598,694.0899999999999,201.353382647781,10
baseline,5,-154.11383595915305,59.79807021563907,0.026666666666666665,0.08432740427115679,0.04333333333333333,0.1257569672615192,773.0666666666667,144.77671953224564,10
baseline,6,-138.48704015788655,42.183858893422745,0.01,0.02249828525701843,0.023333333333333334,0.035311663515712674,830.2866666666666,126.5559449803783,10
baseline,7,-121.6965741901128,25.289785057708013,0.01,0.02249828525701843,0.026666666666666672,0.03442651863295482,894.5266666666666,39.599637733721444,10
baseline,8,-108.6492369678623,27.083922273463475,0.013333333333333332,0.023306863292670035,0.026666666666666665,0.04097575314352394,895.0033333333333,40.83763529870608,10
baseline,9,-90.25102868086606,43.03774561108893,0.03333333333333333,0.05443310539518174,0.056666666666666664,0.058899370136438096,871.6733333333334,84.31776433656225,10
baseline,10,-65.74249559410387,76.37638078704391,0.026666666666666665,0.030631219449089385,0.08666666666666666,0.06703601390665935,841.8633333333333,136.75298850188804,10
baseline,11,-32.096011517682335,94.58171029613699,0.1,0.08012336167697755,0.17666666666666667,0.16409121221420092,795.1600000000001,145.5142263631775,10
baseline,12,1.9941944227319794,94.30090973605444,0.13333333333333333,0.11111111111111112,0.2866666666666667,0.24149738643372726,744.3399999999999,134.17278872620895,10
baseline,13,24.466257950142168,97.12343118592592,0.15666666666666668,0.11444983806060524,0.32666666666666666,0.21418810240038202,710.2433333333333,166.0379713004837,10
baseline,14,62.95094587951991,86.18505351061717,0.26,0.11309342799999529,0.4633333333333334,0.17809000360131405,659.1066666666667,127.6734267623242,10
baseline,15,92.98006826106081,75.0493804729853,0.3,0.1143958904554111,0.4966666666666667,0.14778195482818432,619.1566666666666,122.68939206763531,10
baseline,16,120.7138372662245,58.18435508348174,0.35333333333333333,0.16865480854231354,0.58,0.13984117975602023,565.0366666666666,109.955952404296,10
baseline,17,137.91097933448577,57.50551643308375,0.4,0.146565621758588,0.65,0.161970885967925,501.54333333333335,118.10046680373138,10
