episode,return,length,terminated,truncated
0,-13.932463694461475,149,True,False
1,-22.267342868693316,290,True,False
2,-16.754524670021112,331,True,False
3,-26.98586644426778,494,True,False
4,-16.738017951746208,810,True,False
5,-44.820191556672384,935,True,False
6,-24.892131113566972,931,True,False
7,141.84398273224343,682,True,False
8,155.8531682878063,586,True,False
9,191.51256012306015,465,True,False
10,158.70085281277426,440,True,False
11,180.49846740815914,435,True,False
12,211.31767158757322,470,True,False
13,223.06876635918087,441,True,False
14,225.1627034800972,360,True,False
15,210.72906447623967,371,True,False
16,217.60337933281008,379,True,False
17,217.83432129885378,357,True,False
18,217.52634038077912,398,True,False
19,222.0608347031156,332,True,False
